[[433.5, 575.25], [415.5, 645.75], [390.75, 597]]|[0]|[1.5, 5, 0.6666666666666666]|False
[[547.5, 756], [525.75, 792.75], [479.25, 822], [450.75, 763.5], [482.25, 687], [512.25, 634.5], [534.75, 554.25], [512.25, 447.75], [465.75, 402.75], [393, 398.25], [330, 420.75]]|[3, 3, 3, 1, 3, 3, 3, 3, 3]|[1.5, 5, 0.6666666666666666]|False
[[345.75, 483.75], [366, 446.25], [391.5, 427.5]]|[3]|[1.5, 5, 0.6666666666666666]|False
[[332.25, 535.5], [345.75, 483.75], [393, 456.75]]|[3]|[1.5, 5, 0.6666666666666666]|False
[[318.75, 600.75], [332.25, 535.5], [388.5, 491.25]]|[3]|[1.5, 5, 0.6666666666666666]|False
[[512.25, 447.75], [483, 473.25], [465.75, 510.75], [433.5, 575.25], [390.75, 597], [348, 615], [317.25, 668.25], [318.75, 600.75], [351, 549], [389.25, 524.25]]|[3, 1, 3, 1, 3, 0, 3, 3]|[1.5, 5, 0.6666666666666666]|False
[[532.5, 417], [555.75, 399], [519, 375.75], [416.25, 363], [300.75, 373.5], [278.25, 402.75], [298.5, 417]]|[3, 3, 3, 3, 3, 3]|[1.5, 5, 0.6666666666666666]|False
[[243, 414], [210.75, 389.25], [240, 347.25], [408.75, 326.25], [598.5, 347.25], [649.5, 389.25], [609.75, 412.5]]|[3, 3, 3, 3, 3, 3, 3]|[1.5, 5, 0.6666666666666666]|False
[[542.25, 304.5], [422.25, 293.25], [300.75, 303.75]]|[3]|[1.5, 5, 0.6666666666666666]|False
[[696.75, 315], [544.5, 272.25], [415.5, 264], [278.25, 276.75], [173.25, 297.75]]|[3, 3, 3]|[1.5, 5, 0.6666666666666666]|False
[[523.5, 759], [516, 751.5], [523.5, 744], [531, 751.5]]|[3, 3, 3, 3]|[1.5, 5, 0.6666666666666666]|True
[[550.5, 682.5], [534.75, 733.5], [552.75, 741]]|[0]|[1.5, 5, 0.6666666666666666]|False
